,text
Mach_108.txt, xv  things   men  especially rulers  praised  blamed   remains now  consider   ways  ruler  act  regard   subjects  allies  since   well aware  many people  written   subject  fear   may  thought presumptuous      say differs   precepts offered  others especially   matter    want  write  will  useful  anyone  understands  seems   better  concentrate   really happens rather   theories  speculations  many  imagined republics  principalities   never  seen  known  exist however  men live   different     live   ruler       generally done  persists       done will undermine  power rather  maintain    ruler  wants always  act honourably  surrounded  many unscrupulous men  downfall  inevitable therefore  ruler  wishes  maintain  power must  prepared  act immorally   becomes necessary 
Mach_109.txt,  shall set aside fantasies  rulers   consider  happens  fact  say  whenever men  discussed  especially rulers   occupy  exalted positions   praised  blamed  possessing    following qualities thus one man  considered generous another miserly  use  tuscan term  avaro   tongue also signifies someone   rapacious whereas  call misero someone    reluctant  use   possessions one  considered  free giver another rapacious one cruel another merciful one treacherous another loyal one effeminate  weak another indomitable  spirited one affable another haughty one lascivious another moderate one upright another cunning one inflexible another easygoing one serious another frivolous one devout another unbelieving      know  everyone will acknowledge      praiseworthy   ruler     abovementioned qualities   
Mach_11.txt,  reason   devoted     intend  behave well   fear       foreigners  designs   state will proceed  carefully hence   state  ruled directly    unlikely indeed   lost     good solution   establish colonies    places  become    fetters   conquered territory     done  will  necessary  hold   means  large military forces colonies involve little expense    little   cost one establishes  maintains    people injured    lose  fields  homes   given   new settlers     inhabitants  affected   way moreover    injures can never harm     poor  scattered    inhabitants remain unharmed   
Mach_110.txt,held   good      possible        circumstances   permit living  completely virtuous life one must  sufficiently prudent  know   avoid becoming notorious   vices   destroy ones power  seek  avoid  vices    politically dangerous   one  bring oneself     can  indulged   fewer misgivings yet one    troubled  becoming notorious   vices without    difficult  preserve ones power   one considers everything carefully   things  seem virtuous may result  ones ruin whereas   things  seem vicious may strengthen ones position  cause one  flourish  xvi generosity  meanness   begin    first   abovementioned qualities  maintain     desirable   considered generous nevertheless  generosity  practised    way   will  
Mach_111.txt,considered generous  will harm     practised virtuously       will   known    will  avoid acquiring  bad reputation   opposite vice therefore  one wants  keep   reputation   generous one must spend lavishly  ostentatiously  inevitable outcome  acting   ways    ruler will consume   resources  sumptuous display    wants  continue   thought generous  will eventually  compelled  become rapacious  tax  people  heavily  raise money   possible means thus  will begin   hated   subjects     impoverished  will  held  little regard since  generosity    harmed many people  benefited   will feel  effects   discontent   first real threat   power will involve   grave difficulties   realises   changes  ways  will  soon acquire  bad reputation   miserly 
Mach_112.txt, therefore since  ruler   practise  virtue  generosity   known    without harming     well   worry   called miserly  eventually  will come   considered  generous    realised     parsimony  revenues  sufficient  defend    enemies  attack    undertake campaigns without imposing special taxes   people thus  will  acting generously towards  vast majority whose property    touch  will  acting meanly towards      gives nothing   rulers   achieved great things    times    considered mean   others  failed although pope julius ii cultivated  reputation  generosity  order  become pope    seek  maintain  afterwards   wanted   
Mach_113.txt,able  wage war  present king  france  fought many wars without imposing  special taxes   subjects   parsimonious habits  always enabled   meet  extra expenses   present king  spain   reputation  generosity     successfully undertaken  many campaigns  therefore  ruler  worry little   thought miserly  will    rob  subjects  will  able  defend   will avoid  poor  despised  will   forced  become rapacious  meanness  one   vices  enable   rule  may  objected  caesar obtained power   openhandedness   many others  risen   high office    openhanded   considered      reply  either   already  established ruler    trying  become  ruler   first case openhandedness  harmful   second   certainly necessary   thought openhanded caesar  one  
Mach_114.txt,  sought power  rome    gaining power   survived    moderated  expenditure    undermined  power      objected  many rulers    considered  generous   remarkable military successes   reply  ruler spends either  belongs     subjects   belongs  others   former case    parsimonious   latter     openhanded  possible  ruler  accompanies  army supporting   looting sacking  extortions disposes   belongs  others  must  openhanded       soldiers will desert  can  much  generous     belong      subjects  cyrus caesar  alexander     giving away  belongs  others   way damages  reputation rather  enhances 
Mach_115.txt,    giving away  belongs    harms     nothing    selfconsuming  generosity    practise   less  will  able  continue  practise   will either become poor  despised   efforts  avoid poverty will make  rapacious  hated  ruler must   guard   despised  hated   generous will lead   therefore   shrewder  cultivate  reputation  meanness  will lead  notoriety    hatred   better   forced  wanting   considered generous  incur  reputation  rapacity  will lead  notoriety   hatred  well  xvii cruelty  mercifulness  whether   better   loved  feared  turning    previously mentioned qualities  maintain  every ruler  want   thought merciful  cruel nevertheless 
Mach_116.txt,one  take care    merciful   inappropriate way cesare borgia  considered cruel yet  harsh measures restored order   romagna unifying   rendering  peaceful  loyal   conduct  properly considered  will  judged    much  merciful   florentine people  let pistoia  torn apart  order  avoid acquiring  reputation  cruelty therefore   ruler can keep  subjects united  loyal    worry  incurring  reputation  cruelty   punishing     will really   merciful    overindulgently permit disorders  develop  resultant killings  plunderings   latter usually harm  whole community whereas  executions ordered   ruler harm  specific individuals   new ruler  particular  avoid  considered harsh since new states  full  
Mach_117.txt,dangers virgil makes dido say res dura et regni novitas  talia cogunt moliri et late fines custode tueri  nevertheless    slow  believe accusations   act  individuals     afraid    shadow   act  due prudence  humanity    overconfident will  make  incautious    suspicious will  render  insupportable   controversy  arisen   whether   better   loved  feared  vice versa  view     desirable    loved  feared    difficult  achieve    one      lacking   much safer   feared  loved    may  said  men generally   ungrateful fickle feigners  dissemblers  voiders  danger eager  gain   
Mach_118.txt,benefit     devoted     shed  blood    offer  possessions  lives   sons   said    need     far      hard pressed  turn away  ruler   relied completely   promises   neglected  prepare  defences will  ruined  friendships   acquired  money    greatness  nobility  character  paid    secured  prove unreliable just    needed  men  less hesitant  offending  harming  ruler  makes  loved  one  inspires fear  love  sustained   bond  gratitude   men  excessively selfinterested  broken whenever  see  chance  benefit   fear  sustained   dread  punishment   always effective nevertheless  ruler must make  feared    way  even     become loved    become hated    perfectly possible   feared without incurring hatred   can always  achieved   refrains  laying hands   property   citizens  subjects    womenfolk    necessary  execute anyone    done      proper justification  obvious reason     must  touch  property  others  men forget sooner  killing   father   loss   patrimony  moreover  will always  pretexts  seizing property  someone  begins  live rapaciously will always find pretexts  taking  property  others    hand reasons  pretexts  taking life  rarer   fleeting 
Mach_119.txt, hovever   ruler    army  commands  large force  must  worry   considered harsh  armies  never kept united  prepared  military action unless  leader  thought   harsh among  remarkable things recounted  hannibal   although     large army composed  men  many countries  fighting  foreign lands  never arose  dissension either among     leader whether things  going well  badly    accounted     inhuman cruelty  together   many good qualities made  always respected  greatly feared   troops        cruel   qualities     sufficient  achieve  effect thoughtless writers admire  achievement   yet condemn  main reason       qualities    sufficed  proved   
Mach_12.txt,therefore  reassured  will  afraid  causing trouble  fear   will  dispossessed like  others  conclude   colonies   expensive   loyal  harm fewer people     harmed  injure     said   scattered  poor     observed   men  either  caressed  crushed   can avenge slight injuries       severe hence  injury done   man must       need  fear  revenge  however  military forces  sent instead  colonists   much  expensive    revenue   region will  consumed   security  outcome    territory gained results  loss      much  injurious   harms  whole   region   troops move round  country everyone suffers 
Mach_120.txt,happened  scipio considered   remarkable man      times    others whose armies rebelled    spain   reason       overindulgent  permitted  soldiers  freedom   consistent  maintaining proper military discipline fabius maximus rebuked      senate  called   corrupter   roman army   locri  ravaged  one  scipios legates  inhabitants   avenged     legate   punished   arrogance   scipio   easygoing indeed  speaker   senate  wished  excuse  said    many men   better   committing misdeeds   punishing  misdeeds  others  character    eventually  tarnished  fame  glory    continued  military command unchecked  since   controlled   senate  
Mach_121.txt,harmful quality    concealed  contributed   glory  returning   matter   feared  loved   conclude  whether men hear affection depends    whether   afraid will depend    ruler   wise ruler  rely       control       control  others   contrive   avoid incurring hatred    said  xviii  rulers  keep  promises  everyone knows  praiseworthy     ruler  keep  promises  live uprightly    trickery nevertheless experience shows    times  rulers   done great things     set little store  keeping  word  skilful rather  cunningly deceiving men   got  better     relied   trustworthy 
Mach_122.txt,   know     two ways  contending one  using laws   force  first  appropriate  men  second  animals    former  often ineffective one must  recourse   latter therefore  ruler must know well   imitate beasts  well  employing properly human means  policy  taught  rulers allegorically  ancient writers  tell  achilles  many  ancient rulers  entrusted  chiron  centaur   raised carefully     mentor   halfbeast  halfman signifies   ruler needs  use  natures   one without     effective  since  ruler  must know   act like  beast   imitate   fox   lion   lion  liable   trapped whereas  fox  ward  wolves one needs     fox  
Mach_123.txt,recognise traps   lion  frighten away wolves   rely merely upon  lions strength   understand matters  therefore  prudent ruler  keep  word      fidelity  damage     reasons  made  promise   longer relevant  advice    sound   men  upright     treacherous    keep  promises      consider  bound  keep  promises    moreover plausible reasons can always  found   failure  keep promises one  give countless modern examples    show  many peace treaties  promises   rendered null  void   faithlessness  rulers   best able  imitate  fox  succeeded best  foxiness   well concealed one must   great feigner  dissembler  men   naive   
Mach_124.txt,much dominated  immediate needs   skilful deceiver always finds plenty  people  will let   deceived   must mention one recent case alexander vi  concerned   deceiving men   always found  gullible  man ever affirmed anything  forcefully   stronger oaths  kept  word less nevertheless  deceptions  always effective   well understood  naivety  men   ruler  need  actually possess   abovementioned qualities   must certainly seem  indeed  shall   bold   say    always cultivating   harmful whereas seeming     useful  instance  seem merciful trustworthy humane upright  devout  also       becomes necessary  refrain  must  prepared  act   opposite way   capable      must  understood   ruler  especially  new ruler  always act  ways   considered good   order  maintain  power   often forced  act treacherously ruthlessly  inhumanely  disregard  precepts  religion hence  must  prepared  vary  conduct   winds  fortune  changing circumstances constrain     said   deviate  right conduct  possible   capable  entering upon  path  wrongdoing   becomes necessary 
Mach_125.txt,  ruler     careful  everything  says  replete   five abovenamed qualities    see  hear    seem   exceptionally merciful trustworthy upright humane  devout     necessary    seem devout   matters  men judge    eyes    hands  everyone  capable  seeing    can touch  everyone can see   appear   whereas   direct experience    really     will  dare  challenge  popular view sustained      majesty   rulers position  regard   human actions  especially   rulers    called  account men pay attention   outcome   ruler  contrives  conquer   preserve  state  means 
Mach_126.txt,will always  judged   honourable   praised  everyone   common people  impressed  appearances  results everywhere  common people   vast majority     isolated   majority   government   one one present day ruler    well  leave unnamed  always preaching peace  trust although   really  hostile       practised     lost either reputation  power several times   xix  contempt  hatred   avoided  since   already discussed   important   qualities previously mentioned  want  discuss  others briefly   general heading   ruler   already  partly explained  avoid anything  will make  either hated  despised    avoid   will  done     none    
Mach_127.txt,censurable faults  will involve    danger   will make  hated   else   said   rapacious  seizing  property  womenfolk   subjects  must avoid   things   vast majority  men   deprived   property  honour  will live contentedly  one will   deal    ambition    men  can easily  restrained  various ways   will make  despised   considered inconstant frivolous effeminate pusillanimous  irresolute  ruler must avoid contempt      reef   contrive   actions  display grandeur courage seriousness  strength   decisions   private disputes   subjects   irrevocable   maintain  reputation    one  think  lying    scheming  trick  
Mach_128.txt,  ruler  succeeds  creating   image   will enjoy  fine reputation   will  difficult  plot    attack  provided    known    able  greatly respected  feared   subjects  rulers   two main worries one  internal  concerns  subjects    external  concerns foreign powers   latter threat good troops  reliable allies   effective defence  possessing good armies always results   allies   reliable  external relations  solidly based internal affairs will give  trouble unless   already  disturbed  conspiracy even    external threats provided  ruler lives  arranges  affairs    recommended    fainthearted  will always  able  repel  attacks just  nabis  spartan    mentioned earlier 
Mach_129.txt,   regard  ones subjects     external threat ones  fear must    may  plotting secretly  ruler will effectively protect    danger   avoids incurring hatred  contempt  keeps  people satisfied     essential      said  length earlier one   best safeguards   ruler   plots    hated   people  plotters always believe  killing  ruler will satisfy  people   plotters think   people will  angry  will   reluctant  undertake  conspiracy   always involves countless difficulties  dangers      many conspiracies  history  shown    succeeded   conspirator  act alone yet   seek help except     believes   disaffected   soon    revealed 
Mach_13.txt, nuisance  becomes hostile   ruler    dangerous enemies  although defeated  remain    homes  every point  view   military solution  misguided whereas establishing colonies  extremely effective      said anyone  rules  foreign country  take  initiative  becoming  protector   neighbouring minor powers  contrive  weaken    powerful within  country    also take precautions   possibility   foreign ruler  powerful   may seek  invade  country  circumstances  favourable  invaders  always helped  malcontents within  country   moved either    overweening ambition   fear  happened  greece   aetolians  responsible   invasion   romans   every country   romans attacked    inhabitants 
Mach_130.txt, plan   malcontent  enable   become contented  obviously  can now expect   amply rewarded   sees    certain gain      way   many dangers  uncertain gain  joining  plot  must either   exceptional friend   implacable enemy   ruler   fails  give  away  short  plotters    fears  discovery  betrayal   dreadful prospect  punishment   ruler   prestige attaching   office together   laws  resources  government   disposal  well  help  allies    will help   survive  follows   popular goodwill  added     advantages   exceedingly rash man  dare  conspire   plotters normally  grounds   afraid   crime  carried        feared  well   afterwards   deed   done  people will  hostile   will   hope   given refuge   
Mach_131.txt, countless examples   given   subject   shall limit   one  occurred   fathers time messer annibale bentivoglio grandfather   present messer annibale   ruler  bologna  conspired   killed   canneschi family   son  messer giovanni    babe  arms immediately   killing  people rose   slaughtered   canneschi  reason     popular goodwill towards  bentivoglio   time    great  annibales death  member   family  left  bologna   govern  state    heard  florence  one   bentivoglio family   believed    blacksmiths son  living   bolognese came  florence  find   entrusted  government   city     governed   giovanni  old 
Mach_132.txt,enough  rule   conclude   rulers  worry little   plotted    subjects  well disposed towards     subjects  hostile  hate     afraid  everything  everyone wellordered states  wise rulers  always   careful   exasperate  nobles  also  satisfy  people  keep  contented   one    important things   ruler    france  one   bestordered  bestgoverned modern kingdoms    country   countless good institutions    liberty  security   king  based   important     parlement  possesses great authority   man  reformed  kingdom  well aware   ambition  arrogance   nobles  thought   needed  bit   mouths  restrain     hand since  knew   
Mach_133.txt,people hated  nobles    afraid    wanted  protect  people    want  restraint    special duty   king  order   make  hated   nobles   favoured  people    make  hated   people   favoured  nobles consequently  set  another body  restrain  nobles  favour  people without  king   incur  hostility       prudent measure  better institution    anything   strengthened   monarchy   kingdom  another important lesson can  learned   rulers  leave unpleasant tasks  others     things  increase  popularity    emphasise   ruler  respect  nobles   act   way  makes  people hate  
Mach_134.txt,  will perhaps seem  many people    lives careers  deaths     roman emperors  examined  will provide evidence   views   expressed   emperors always lived admirable lives  displayed greatness  spirit yet either lost power   killed   soldiers  courtiers  plotted    want  reply   objections  consider  characters   emperors  show  reasons   failed    inconsistent     maintained  also want  emphasise  things   important  anyone  studies  deeds done   times   want  limit  survey   emperors  ruled  marcus  philosopher  maximinus namely marcus  son commodus pertinax julianus severus  son antoninus caracalla macrinus heliogabalus alexander  maximinus  first point   
Mach_135.txt, made   whereas   principalities   ambition   nobles   insolence   people    reckoned   roman emperors  confronted   third problem    deal   cruelty  rapacity   soldiers     great problem   caused  downfall  many emperors    hard  satisfy   soldiers   people  reason    people liked  peaceful life  consequently wanted   moderate rulers whereas  soldiers wanted warlike rulers   arrogant cruel  rapacious  soldiers wanted  people   treated harshly  rulers      double pay  give vent    rapacity  cruelty   outcome    emperors  either  natural deficiencies  lack  experience   acquire sufficient prestige   able  restrain   soldiers   people always failed     emperors especially   came   throne  new 
Mach_136.txt,men   realised  difficult    satisfy  two conflicting tendencies tried  satisfy  soldiers  worried little   people  harmed    forced  follow  policy since rulers  avoid  hated   quarters  first thing      try    hated  everyone      achieved  strive assiduously  avoid  hatred   groups    powerful  consequently  emperors  stood specially  need  support    new rulers favoured  soldiers rather   people however whether  profited    depended  whether   capable  keeping  respect   soldiers  marcus pertinax  alexander   lived moderately  loved justice  shunned cruelty    humane  benevolent came apart  marcus   bad end  marcus lived  
Mach_137.txt,died honoured     became emperor  hereditary right    owe  power either   soldiers    people     many fine qualities  made  greatly respected throughout  reign   able  keep   soldiers   people  control   always avoided  hated  despised   pertinax  made emperor   will   soldiers   used     pleased  commodus   bear  live properly  pertinax wanted    thus  became hated  since   despised  well    old   slain soon   start   reign     remarked   point  good deeds  well  bad may incur hatred   said earlier  ruler  wants  maintain  power  often forced  act immorally    group whether    people   soldiers   nobles whose support  consider 
Mach_138.txt,necessary  maintaining  power  corrupt   forced  indulge  proclivities  order  satisfy    circumstances good deeds  inimical     let us come  alexander whose rectitude   notable    praised  many things one     fact    fourteen years   held power  never  anyone executed without  trial nevertheless    considered weak   man  allowed    controlled   mother  came   despised  army plotted      killed  let us now consider  contrast  characters  commodus severus antoninus caracalla  maximinus    exceedingly cruel  rapacious  order  satisfy  soldiers    hesitate  commit every kind  injury   people     except severus came   bad end 
Mach_139.txt, severus possessed  much ability    able  keep  soldiers friendly  rule successfully   end even though  oppressed  people   outstanding qualities made   remarkable   eyes   soldiers   people   latter  astonished  awestruck   former  respectful  satisfied    new ruler  deeds   man   impressive   want  show briefly  well   able  imitate  fox   lion   said earlier  necessary   ruler   severus  well aware   indolence   emperor julianus   persuaded  army  commanded  slavonia      good idea  march  rome  avenge  death  pertinax    killed   praetorian guard using  pretext without revealing   wanted 
Mach_14.txt,aided  invasion  usually happens    soon   strong invader attacks  country   less powerful men rally      enviously hostile   ruler   held sway    invader   trouble  winning   less powerful men since  will   disposed  support  new power   acquired  needs    careful     acquire  much military power  influence  using   forces    consent  can easily put     powerful thus gaining complete control   country  ruler    act   way will soon lose    gained  even    hold   will  beset  countless difficulties  troubles   romans followed  policies  well   countries  
Mach_140.txt, become emperor  took  army towards rome   speed   reached italy    known   left slavonia   arrived  rome  intimidated senate elected  emperor   julianus killed   beginning two difficulties remained   overcome  severus  control  whole empire one   asia  nigrinus leader   asian armies   proclaimed emperor      west  albin us also aspired   imperial throne since severus thought    dangerous  reveal  hostility   men  decided  attack  nigrinus   trick albinus accordingly  wrote  albinus saying   senate  chosen  emperor    wanted  share  office   sent albinus  title  caesar saying   decision   senate albin us  join   coemperor albin us thought    
Mach_141.txt,true   severus  defeated  killed nigrinus   eastern part   empire  calm  returned  rome  complained   senate  albinus showing little gratitude   benefits   received  treacherously attempted  kill      therefore necessary  go  punish  ingratitude  severus attacked albinus  france   deprived      position   life   severuss deeds  examined closely  must  concluded      fierce lion    cunning fox   feared  respected  everyone    hated   soldiers       matter  surprise    new ruler  able  rule   great empire   immense prestige always protected    hatred   people might        rapacious 
Mach_142.txt,deeds   son antoninus  also  man  many  fine qualities   greatly admired   people  liked   soldiers     hardened warrior  despised delicate food   kind  weakness  endeared     soldiers nevertheless  committed  many deeds  unexampled barbarity  cruelty countless individuals  killed  well     inhabitants  rome     alexandria   result  became greatly hated  everyone even  around  began   afraid    one day   killed   centurion   midst    troops      remarked   assassinations  result   resolve  implacable enemies   guarded   rulers  anyone    fear death  can kill  ruler  since  happens  rarely  ruler   much less afraid      careful    harm seriously  insult anyone  serves    courtiers  antoninus    outrageously put  death  brother   centurion   continually threatened  centurion  yet  kept  man   bodyguard    
Mach_143.txt,rash decision  likely  cause  downfall  indeed happened   let us consider commodus    found   easy  retain power since   inherited    father marcus  needed   follow   footsteps   father     satisfied   soldiers   people     naturally cruel  brutal  began  curry favour   soldiers  let  behave   liked    satisfy  rapacity   peoples expense moreover    careful  uphold  dignity   often went    theatres  fight   gladiators     things    degrading    keeping   imperial rank  became despised   soldiers since   hated   people  despised   soldiers   conspired   killed 
Mach_144.txt,  remains  discuss  character  maximinus    extremely warlike man  since  soldiers  greatly disliked  unmanly conduct  alexander    mentioned earlier     killed  soldiers chose maximinus  emperor     retain power   long  two things made  hated  despised one       low birth     shepherd  thrace   well known  everybody  caused    greatly despised       beginning   rule   put  going  rome  taking possession   imperial throne  delay earned   reputation   cruel   prefects carrying   orders  committed many cruel acts   rome   many  parts   empire  result   since everyone  outraged   low birth  filled  hatred  
Mach_145.txt,   afraid   brutality first africa revolted   senate    people  rome   rest  ltaly rose    finally   army rebelled  troops  besieging aquileia   found  difficult operation  became angry   harshness  taking courage  knowing   many  turned    killed      wish  discuss heliogabalus macrinus  julianus    generally despised   soon killed  want  bring  survey   close  maintain   rulers    times   troubled   need  satisfy  soldiers  violent  illegal means although    pay  attention    problems  quickly resolved  none   rulers  raised armies   used   together  long periods controlling  
Mach_146.txt,administering provinces   armies   roman empire  hence      necessary  satisfy  soldiers   people     soldiers   powerful  nowadays   rulers except  sultans  turkey  egypt    necessary  satisfy  people   soldiers   people  now  powerful  sultan  turkey   exception   always keeps twelve thousand footsoldiers  fifteen thousand cavalry   service near    security  strength   kingdom depends   forces hence  must keep  forces friendly  pay  regard     others likewise since  kingdom   sultan  egypt  completely   hands   soldiers    obliged  keep  friendly without considering   people may want moreover    noted   sultans state  different  every  principality   resembles  papacy    called either  hereditary principality   new principality      sons   old ruler    heirs   become rulers   man   elected   position     authorised since  institution  ancient    called  new principality   lacks   problems encountered  new principalities although  ruler  certainly new  institutions   state  old   ready  receive       hereditary ruler 
Mach_147.txt,  let us return   subject  maintain  anyone  considers    written will realise  either hatred  contempt led   downfall   emperors   discussed  will recognise     acted  one way  others   opposite way   one ruler   group  successful   others ended badly  pertinax  alexander  new rulers   useless  harmful    act like marcus    hereditary ruler likewise   harmful  caracalla commodus  maximinus  act like severus   lacked  ability required  follow   footsteps therefore  new ruler   new principality ccmnot imitate  conduct  marcus     necessary  imitate   severus rather   imitate severus   courses  action   necessary  establishing   power  imitate marcus     necessary  maintaining power   already established  secure thus achieving glory 
Mach_148.txt, xx whether building fortresses  many  things  rulers frequently   useful     maintain  power  securely  rulers  disarmed  subjects others  encouraged factions  towns subject   others  fostered hostility   others  sought  win       suspicious   began  rule   built fortresses  others  destroyed  although  definite judgement   passed    measures unless  particular circumstances   states    decisions  taken  examined nevertheless  shall discuss  subject  terms  general   permits  new rulers  never disarm  subjects indeed   find  unarmed  always provide   weapons    arm   weapons become      distrusted become loyal    loyal remain   subjects  
Mach_149.txt,converted  firm adherents since    possible  provide   subjects  arms   benefit    arm  will also  able  secure  better   others since  former  treated favourably  will   attached    latter will excuse  conduct   will realise  need  treat favourably   carry   dangerous duties     disarm  subjects  begin  offend    show     trust  either    weak  cowardly      suspicious    reasons cause   become hated since   remain without military forces  will  forced  resort  employing mercenary troops  will    stamp   previously indicated  even   happen   effective    sufficiently effective  defend 
Mach_15.txt,conquered  established colonies   friendly relations   less powerful though without increasing  influence  put   powerful   ensured  strong foreign powers   acquire influence     shall cite  greece   example  romans established friendly relations   achaeans   aetolians  macedonian kingdom  put  antiochus  driven oute  never permitted  achaeans   aetolians  augment  power despite  good offices rendered   philip sought   accepted   ally     permit  revival   power  even  might  antiochus   constrain   let  hold  dominions   country   romans acted   circumstances   wise rulers      deal    existing troubles   troubles   likely  develop    use every means  overcome 
Mach_150.txt,  powerful enemies  hostile subjects     said  new rulers  new principalities always arm  subjects history  full  examples      ruler annexes  state   joined like  member   old one  must  disarm  inhabitants   state except    helped   annex  however  time   opportunity permits even  must  rendered weak  harmless   must arrange matters     arms   enlarged state    hands    soldiers  served     old state   ancestors     thought   wise used  say    necessary  hold pistoia  means   factions  pisa  using fortresses accordingly  fostered discords   subjects   towns     maintain  hold   
Mach_151.txt, easily  policy may   sound   period     certain equilibrium  italy     think     imitated today   view   divisions never benefit anyone   contrary  factionridden cities  threatened   enemy force  always fall  quickly  reason    weaker faction always rallies   invader      strong enough  resist   venetians used  foster  guelph  ghibelline factions   subjectcities acting   reasons mentioned   think although  never permitted bloodshed   careful  foment discords among     citizens    absorbed   quarrels     unite   venetians  policy   profit    seen   defeat  vaila    cities  immediately emboldened  revolt   deprived 
